authors,dates,statements,sources,targets,BianryTarget,BianryNumTarget
Maria Ramirez,"• February 14,",“FEMA sent $59M LAST WEEK to luxury hotels in New York City to house illegal migrants… That money is meant for American disaster relief.”,Elon Musk,false,Fake,0
Sofia Ahmed,"February 14, 2025",An episode of “The Simpsons” showed a President Donald Trump-like character in a coffin and predicted Feb. 14 would be the “day everything changes.”,Facebook posts,pants-fire,Fake,0
Loreben Tuquero,"February 14, 2025",Former USAID Administrator Samantha Power’s net worth “skyrocketed” from $6.7 million to $30 million in three years.,Mario Nawfal,false,Fake,0
Jeff Cercone,"February 14, 2025",Pennsylvania Gov. Josh Shapiro is “being charged with the attempted assassination of Trump.”,Social Media,pants-fire,Fake,0
Kwasi Gyamfi,"• February 14,","President Donald Trump said he “‘didn’t have time’ to meet the families of the men, women and children who tragically died in the plane crash.”",Threads posts,false,Fake,0
Ciara O'Rourke,"February 14, 2025",Photo shows National Intelligence Director Tulsi Gabbard and President Donald Trump at her swearing-in.,Viral image,false,Fake,0
Caleb McCullough,"February 13, 2025","The United States is “last in education out of 40 states … but we're number one in cost per pupil.""",Donald Trump,false,Fake,0
Sofia Ahmed,"February 13, 2025",Elon Musk spent $40 million to buy five Super Bowl Commercial ads to promote DOGE.,Facebook posts,false,Fake,0
Maria Briceño,"February 13, 2025",Coca-Cola “sells out its own workers to ICE.”,Instagram posts,false,Fake,0
Sara Swann,"February 13, 2025",Video shows a sinkhole opened in New York City in February 2025.,Instagram posts,false,Fake,0
Ciara O'Rourke,"February 13, 2025",Video shows celebrities wearing T-shirts with graphics of a middle finger and the word “Kanye.”,Viral image,false,Fake,0
Ciara O'Rourke,"February 12, 2025","Says Kash Patel said, “FBI investigation uncovers 256 emails between Adam Schiff and Jeffrey Epstein.”",Instagram posts,false,Fake,0
Ciara O'Rourke,"February 12, 2025",Photo shows Mexican President Claudia Sheinbaum wearing a “Make America Mexicana Again” hat.,Viral image,false,Fake,0
Ciara O'Rourke,"February 12, 2025","Says Mexican President Claudia Sheinbaum told President Donald Trump, “They will beg us to tear down this ugly wall.”",Facebook posts,false,Fake,0
Sofia Ahmed,"February 12, 2025","Bill Gates said, “Defunding USAID will bring about another mystery illness across the world.”",Social Media,false,Fake,0
Ciara O'Rourke,"February 11, 2025",“JAG arrests … USDA Inspector General Phyllis Fong.”,Facebook posts,pants-fire,Fake,0
Ciara O'Rourke,"February 11, 2025",Video shows President Donald Trump was “booed at the Super Bowl.”,Viral image,false,Fake,0
Ciara O'Rourke,"February 11, 2025","Says U.S. Sen. Elizabeth Warren said, “There is nothing in the Constitution that says ordinary citizens have a right to see what we spend our tax dollars on.”",Instagram posts,false,Fake,0
Ciara O'Rourke,"February 11, 2025",Photo shows someone raising two middle fingers at President Donald Trump at the 2025 Super Bowl.,Viral image,false,Fake,0
Claire Cranford,"February 11, 2025",President Donald Trump posted that “the Chiefs’ Super Bowl performance was a disaster” and “too focused on DEI nonsense.”,Threads posts,false,Fake,0
Sofia Ahmed,"February 11, 2025",A ‘60 Minutes’ clip shows Kamala Harris lying while cameras roll. “,Instagram posts,false,Fake,0
Caleb McCullough,"February 10, 2025",Ring is “alerting people about (Immigration and Customs Enforcement) raids.”,Instagram posts,false,Fake,0
Madison Czopek,"February 9, 2025","As head football coach at Texas Tech University, “I recruited (Patrick Mahomes) ... I’ve got to be very good friends with him.”",Tommy Tuberville,false,Fake,0
Maria Ramirez,"• February 9,","At Guantánamo Bay, “we'll have the capacity to continue to do there what we've always done. We've always had a presence of illegal immigrants there that have been detained.”",Kristi Noem,half-true,Fake,0
Sofia Ahmed,"February 7, 2025","“Elon Musk officially cancelled USAID and fired all the staff. In his words, ‘we just toppled one of the biggest globalist terror organizations in history.’”",Facebook posts,barely-true,Fake,0
Sara Swann,"February 7, 2025","CBS News and “60 Minutes” “replaced” former Vice President Kamala Harris’ interview answers “with completely different, and far better, answers, taken from another part of the interview.”",Donald Trump,false,Fake,0
Kwasi Gyamfi,"• February 7,",The U.S. Army helicopter in the Jan. 29 plane collision was the same model of helicopter in the 2020 Kobe Bryant crash.,Instagram posts,false,Fake,0
Ciara O'Rourke,"February 7, 2025",Recent plane crashes in the United States were “human sacrifice rituals” for the Super Bowl.,Instagram posts,pants-fire,Fake,0
Loreben Tuquero,"February 7, 2025",“Breaking news: Taylor Swift officially banned from Super Bowl 2025.”,Facebook posts,false,Fake,0
Ciara O'Rourke,"February 7, 2025",“Elon Musk says Italians should stay in Italy and the Japanese in Japan.”,Threads posts,false,Fake,0
Ciara O'Rourke,"February 7, 2025",An image of a website error code shows the Trump administration “trolling” former Vice President Kamala Harris.,Viral image,false,Fake,0
Jeff Cercone,"February 7, 2025",Graphic shows that the U.S. Agency for International Development paid Chelsea Clinton $84 million.,Social Media,false,Fake,0
Sofia Ahmed,"February 7, 2025",An E! News report said USAID paid millions of dollars to sponsor American celebrity visits to Ukraine.,Instagram posts,pants-fire,Fake,0
Maria Briceño,"February 7, 2025","""Empresa Coca-Cola le pide perdón a los inmigrantes y le envían un mensaje especial a todos los afectados"".",Facebook posts,false,Fake,0
Madison Czopek,"February 7, 2025",Early reports of four survivors show “this DC plane crash story isn’t adding up.”,Facebook posts,false,Fake,0
Claire Cranford,"February 7, 2025",On support for U.S. Agency for International Development,Marco Rubio,full-flop,Fake,0
Ciara O'Rourke,"February 6, 2025","Says Elon Musk said, the Pentagon was spending $600 million a year on sushi.",Facebook posts,false,Fake,0
Ciara O'Rourke,"February 6, 2025",Video shows Robert Kennedy Jr. promoting a diabetes cure.,Facebook posts,false,Fake,0
Samantha Putterman,"February 6, 2025",Florida’s in-state college tuition waiver for immigrants in the country illegally costs the state $41 million.,Randy Fine,barely-true,Fake,0
Ciara O'Rourke,"February 6, 2025",Video shows Robert Kennedy Jr. promoting a diabetes cure.,Facebook posts,false,Fake,0
Loreben Tuquero,"February 6, 2025",Video shows President Donald Trump saying Mexicans call him “peachy cool arrow.”,Instagram posts,false,Fake,0
Maria Briceño,"February 6, 2025",“Al patinador artístico estadounidense Jon Maravilla se le negó el embarque en el vuelo de American Airlines (hacía Washington D.C.) que posteriormente colisionó con un helicóptero”.,Threads posts,false,Fake,0
Jeff Cercone,"February 5, 2025",Federal websites updated with a nine-star flag that represents the Confederacy.,Social Media,false,Fake,0
Amy Sherman,"February 5, 2025","From the U.S. Agency for International Development funding, “10 to 30 cents on the dollar is what actually goes to aid.”",Brian Mast,false,Fake,0
Ciara O'Rourke,"February 5, 2025","Video shows a missile crashed in a Philadelphia neighborhood Jan. 31, not a jet.",Instagram posts,false,Fake,0
Ciara O'Rourke,"February 5, 2025","“U.S. figure skater Jon Maravilla was reportedly prevented from boarding a doomed flight to Washington, D.C.”",Threads posts,false,Fake,0
Maria Briceño,"February 5, 2025","“El gobernador de California le ha dejado las cosas bien claras a Donald Trump que si llega a deportar a los inmigrantes que viven en California el estado independizara de Estados Unidos y se unirá con México"".",Instagram posts,false,Fake,0
Maria Briceño,"February 5, 2025","Mexico’s President Claudia Sheinbaum said, “I’m confused. I keep hearing everyone from America saying that my country is sending felons and (rapists) into their country. We thought that was encouraged … considering that’s what they chose to be their president.”",Instagram posts,false,Fake,0
Sara Swann,"February 5, 2025","“The Trump administration is giving each and every adult in America $18,000.”",Instagram posts,false,Fake,0
Caleb McCullough,"February 5, 2025",Ukrainian President Volodymyr Zelenskyy “just threw the whole Ukraine money laundering operation under the bus … by stating he’s received less than half of the over $177 billion in aid sent by the United States.”,Facebook posts,false,Fake,0
Sofia Ahmed,"February 4, 2025",“Melania wins $900 million ‘defamation lawsuit’ against The View & Sunny Hostin.”,Threads posts,false,Fake,0
Ciara O'Rourke,"February 4, 2025","Says White House Press Secretary Karoline Leavitt said, “Jesus didn’t have electricity and he did just fine.”",Threads posts,false,Fake,0
Ciara O'Rourke,"February 4, 2025",Video shows “airplane crash with helicopter in Washington D.C.”,Facebook posts,false,Fake,0
Jeff Cercone,"February 4, 2025",Ukrainian officials released list of “kickbacks” given to 18 U.S. politicians.,Facebook posts,pants-fire,Fake,0
Madison Czopek,"February 4, 2025",CNN reported on the Potomac River plane and helicopter crash “hours before it happened.”,Instagram posts,false,Fake,0
Ciara O'Rourke,"February 4, 2025",“Elon Musk shocks the world by blocking Pride on X forever: ‘Children must come first.’”,Facebook posts,false,Fake,0
Samantha Putterman,"February 4, 2025","The National Human Trafficking Hotline “in the last four years decided that they would no longer report tips to law enforcement, that they would take a more victim-centered approach.”",Ashley Moody,false,Fake,0
Hope Karnopp,"February 4, 2025",We’re one of the very few nations that allowed birthright citizenship.”,Ron Johnson,mostly-true,Real,1
Sofia Ahmed,"February 3, 2025",The Black Hawk helicopter involved in the American Airlines crash “was being controlled remotely.”,Threads posts,false,Fake,0
Ciara O'Rourke,"February 3, 2025","Video shows a dam breaking Sept. 28, 2024, in North Carolina.",Viral image,false,Fake,0
Sara Swann,"February 3, 2025","Photo shows “a dangerous serial killer” named Jaden Williams in Monroe, Louisiana.",Facebook posts,false,Fake,0
Loreben Tuquero,"February 3, 2025","“1,500 IRS agents have submitted letters of resignation after Trump announced he would put 90,000 superfluous IRS personnel on border patrol.”",Instagram posts,false,Fake,0
Jeff Cercone,"February 3, 2025",Photo shows Black Hawk helicopter pilot in fatal crash worked for years with President Joe Biden at the White House.,Instagram posts,false,Fake,0
Ciara O'Rourke,"January 31, 2025","A Jan. 6, 2021, U.S. Capitol rioter pardoned by President Donald Trump was “killed when she used her 2A rights with a shotgun while being served for eviction.”",Threads posts,false,Fake,0
Ciara O'Rourke,"January 31, 2025",“A dangerous Hispanic couple” is “on the run after killing 3 female police officers.”,Facebook posts,false,Fake,0
Ciara O'Rourke,"January 31, 2025",Video shows “Donald Trump just announced that America will no longer give visas to Nigerians.”,Viral image,false,Fake,0
Sofia Ahmed,"January 31, 2025",“Donald Trump is reportedly furious with Elon Musk for convincing him to push out the head of the FAA because Musk was mad SpaceX got fined last September by the FAA for license violations.”,Threads posts,false,Fake,0
Maria Briceño,"January 31, 2025",Imagen muestra a oficiales de inmigración arrestando a un hombre vestido con una camisa de “Latinos for Trump 2024”.,Instagram posts,false,Fake,0
Caleb McCullough,"January 31, 2025",“I changed the Obama policy (on hiring air traffic controllers) ... And then Biden came in and he changed it.”,Donald Trump,false,Fake,0
Ciara O'Rourke,"January 31, 2025",“ICE just announced it is pausing the hotline where people can call to report undocumented immigrants because 90% of the calls are from people reporting Elon Musk.”,Threads posts,false,Fake,0
Ciara O'Rourke,"January 31, 2025",“The Episcopal Archdiocese of Washington has removed” Bishop Mariann Budde “from the National Cathedral.”,Threads posts,false,Fake,0
Loreben Tuquero,"January 31, 2025",“Pilot of Blackhawk helicopter that crashed into passenger jet at Reagan National was a transgender woman named Jo Ellis.”,Facebook posts,pants-fire,Fake,0
Louis Jacobson,"January 31, 2025","“As a Californian, we have given more to the recovery of other states than any other state in the union.”",Adam Schiff,mostly-true,Real,1
Jeff Cercone,"January 30, 2025",The U.S. has an egg shortage because the “Biden administration and the Department of Agriculture directed the mass killing of more than 100 million chickens.”,Karoline Leavitt,half-true,Fake,0
Ciara O'Rourke,"January 30, 2025","Says Treasury Secretary Scott Bessent posted on X, “I’m committed to eliminating income taxes, replacing them with a fair consumption tax, and adopting gold-backed currency.”",Viral image,false,Fake,0
Sofia Ahmed,"January 30, 2025",A video shows “people around the world” who are “protesting because Donald Trump is the president.”,Instagram posts,false,Fake,0
Ciara O'Rourke,"January 30, 2025",“Biden pardons are unconstitutional! 7th Circuit Court Judge Joseph Barron ruled that there is no provision to pardon someone who hasn’t been formally charged.”,Instagram posts,false,Fake,0
Sofia Ahmed,"January 30, 2025",“Pfizer just released its list of side effects of its COVID-19 vaccine.”,Facebook posts,false,Fake,0
Sofia Ahmed,"January 30, 2025",“The VIP on the Black Hawk helicopter that crashed was Barack Obama.”,X posts,false,Fake,0
Ciara O'Rourke,"January 30, 2025",Image shows immigration officers arresting someone wearing a “Latinos for Trump 2024” shirt in 2025.,Viral image,false,Fake,0
Ciara O'Rourke,"January 30, 2025","Images show a “beautiful baby boy, estimated to be between 7 months to a year old … found dumped by the roadside” in January 2025.",Facebook posts,false,Fake,0
Sara Swann,"January 30, 2025",Robert F. Kennedy Jr. “made $2.5 million off suing one of the entities that (he would be regulating) and plans to keep getting a take of every lawsuit in the future.”,Elizabeth Warren,half-true,Fake,0
Caleb McCullough,"January 30, 2025",“DOGE and OMB also found that there was about to be $50 million taxpayer dollars that went out the door to fund condoms in Gaza.”,Karoline Leavitt,false,Fake,0
Madison Czopek,"January 30, 2025","“JD Vance is in North Carolina, and he’s found furnished apartments to put the people in that have been living in tents.”",TikTok posts,false,Fake,0
Ciara O'Rourke,"January 29, 2025",Reps. Alexandria Ocasio-Cortez and Jamie Raskin “have filed articles of impeachment against President Trump for pardoning the J6 prisoners.”,Threads posts,false,Fake,0
Amy Sherman,"January 29, 2025","""The Biden administration kicked 2,000 displaced North Carolinians out of their temporary housing into freezing 20-degree weather,"" earlier in January.",Donald Trump,barely-true,Fake,0
Ciara O'Rourke,"January 29, 2025",“Gavin Newsom directed the removal of Elon Musk from the command post and ordered Cal Fire firefighters to return donated starlinks.”,Instagram posts,false,Fake,0
Ciara O'Rourke,"January 29, 2025","Says Eric Trump post on X, “Any and all who dare to defy the American Golden Age, heed this warning: You WILL lose. Tow the line, or we WILL run you down!”",Instagram posts,false,Fake,0
Paul Specht,"January 29, 2025",North Carolina Republicans “took money out of western North Carolina” with Hurricane Helene relief bill.,Roy Cooper,half-true,Fake,0
Grace Abels,"January 29, 2025","“Under Trump's executive order, every single person in America is now legally classified as female.”",X posts,false,Fake,0
Ciara O'Rourke,"January 29, 2025",“President Trump just announced full nationwide concealed carry reciprocity.”,Facebook posts,false,Fake,0
Ciara O'Rourke,"January 28, 2025",Image shows President Donald Trump’s response “to Selena Gomez’ meltdown.”,Viral image,false,Fake,0
Ciara O'Rourke,"January 28, 2025","“The Fraternal Order of Police, the largest police union in the country, just released a statement rescinding their endorsement of President Trump.”",Threads posts,false,Fake,0
Ciara O'Rourke,"January 28, 2025",“Serial killer Ryan Edward … is on the run after killing 3 female police officers.”,Viral image,false,Fake,0
Maria Briceño,"January 28, 2025",“El presidente Donald Trump acaba de firmar una orden ejecutiva que prohíbe la residencia permanente a inmigrantes que se casen con un ciudadano estadounidense”.,Instagram posts,false,Fake,0
Ciara O'Rourke,"January 28, 2025","“Elon Musk confirms he will spend a massive amount to acquire MSNBC, vows to fire Joy Reid to ‘end toxicity.’”",Instagram posts,false,Fake,0
Madeline Heim,"January 28, 2025",Wisconsin makes it more difficult for its citizens to vote than almost any state in the nation.,Common Cause,true,Real,1
Ciara O'Rourke,"January 27, 2025",A proposed constitutional amendment “would allow anyone to run for a 3rd term. Including — Barack Obama.”,Threads posts,false,Fake,0
Loreben Tuquero,"January 27, 2025",“BREAKING NEWS: Michael Jordan calls for ban on pride flag in sports and US school system.”,Facebook posts,false,Fake,0
Caleb McCullough,"January 27, 2025","President Donald Trump signed an executive order to replace the IRS with the External Revenue Service, eliminating tax returns and income tax.",Facebook posts,false,Fake,0
Ciara O'Rourke,"January 27, 2025",The words “help” and “trafico” in a Google Maps aerial view of Los Angeles are connected to human trafficking.,Facebook posts,false,Fake,0
Ciara O'Rourke,"January 27, 2025","“Whoopi Goldberg, Megan Rapinoe and Taylor Swift decide to leave the United States.”",Facebook posts,false,Fake,0
Kwasi Gyamfi,"• January 24,",President Donald Trump’s birthright citizenship executive order would affect former Vice President Kamala Harris’ citizenship status.,Threads posts,false,Fake,0
Ciara O'Rourke,"January 24, 2025","Photos show Jeffrey Thomas, a “serial killer on the loose.”",Facebook posts,false,Fake,0
Madison Czopek,"January 24, 2025",“The removal of birthright citizenship only applies to the children of those that are here ILLEGALLY.”,Threads posts,false,Fake,0
Caleb McCullough,"January 24, 2025",“The U.S. Senate has the votes to remove Trump from office if the House votes to impeach.”,X posts,false,Fake,0
Sara Swann,"January 24, 2025","After President Donald Trump took office, the U.S. government approved a 2025 $1,000 stimulus program for all Americans.",Facebook posts,false,Fake,0
Loreben Tuquero,"January 24, 2025",Video shows “roads heading to Mexico are jam packed as mass deportations have started.”,X posts,false,Fake,0
Ciara O'Rourke,"January 24, 2025",“FEMA has been directed back to North Carolina with $2 billion in emergency funds: ‘We transferred it from the programs that fund welfare for illegals. They don’t be needing it.’”,Facebook posts,false,Fake,0
Ciara O'Rourke,"January 24, 2025",President Donald Trump declared “a state of emergency in Florida because of snow.”,Threads posts,false,Fake,0
Jeff Cercone,"January 24, 2025",“CBS Evening News” anchor Norah O’Donnell was fired.,Threads posts,false,Fake,0
Samantha Putterman,"January 24, 2025","The U.S. House Select Committee that investigated the Jan. 6, 2021, attack on the U.S. Capitol “deleted and destroyed all of the information that they collected over two years.”",Donald Trump,false,Fake,0
Marta Campabadal,"• January 24,","Video muestra a inmigrantes en México que ""se dirigen al punto de control en el Paso Texas con el objetivo de entrar a la fuerza hacia los Estados Unidos debido a que aplicación CBP One quedó fuera de servicio"".",X posts,false,Fake,0
Sofia Ahmed,"January 24, 2025",“Fani Willis has just confessed to collusion with J6 committee.”,Instagram posts,false,Fake,0
Ciara O'Rourke,"January 23, 2025",Image shows President Donald Trump responding to a picture rapper Ye drew of them.,Viral image,false,Fake,0
Ciara O'Rourke,"January 23, 2025",Sen. John Fetterman is leaving the Democratic Party.,Threads posts,false,Fake,0
Caleb McCullough,"January 23, 2025","President Donald Trump ""just reversed all the cost caps Biden negotiated for anyone on Medicare or Medicaid.""",Facebook posts,false,Fake,0
Sara Swann,"January 23, 2025",Elon Musk posted on X that the MAGA movement will “succeed in all the ways Nazi Germany failed to.”,X posts,false,Fake,0
Ciara O'Rourke,"January 23, 2025",Former President Joe Biden “pardoned Michael Byrd.”,Facebook posts,false,Fake,0
Kwasi Gyamfi,"• January 23,","""Our nation’s tallest mountain … has been called Denali for thousands of years.""",Lisa Murkowski,mostly-true,Real,1
Ciara O'Rourke,"January 23, 2025",Video shows Robert F. Kennedy Jr. promoting an alternative diabetes treatment.,Viral image,false,Fake,0
Maria Briceño,"January 23, 2025",“ICE has released the tip hotline to turn in illegal immigrants. They paying $750 for each illegal immigrant.”,Instagram posts,false,Fake,0
Hope Karnopp,"January 23, 2025","Voter ID ""is supported, if you look at any poll, by 70 to 80% of the public.""",Robin Vos,true,Real,1
Sara Swann,"January 22, 2025","After the inauguration, Meta forced users to follow President Donald Trump and Vice President JD Vance on Facebook, Instagram and Threads.",Social Media,false,Fake,0
Sofia Ahmed,"January 22, 2025","""La nueva ley de apoyo infantil de Donald Trump...si recibes manutención infantil ya no podrás reclamar al niño en tus impuestos, solo la persona que está pagando la manutención puede"".",Facebook posts,false,Fake,0
Caleb McCullough,"January 22, 2025",“The Equal Rights Amendment has become part of our Constitution.”,Joe Biden,false,Fake,0
Sofia Ahmed,"January 22, 2025",Former President Joe Biden’s farewell address was prerecorded and the event livestream shows “his handlers queuing it up.”,Social Media,false,Fake,0
Ciara O'Rourke,"January 21, 2025",Video shows “The Simpsons” predicted the Los Angeles wildfires.,Facebook posts,pants-fire,Fake,0
Loreben Tuquero,"January 21, 2025",Videos show that President Donald Trump admitted to rigging the 2024 election during his preinauguration day rally.,Social Media,false,Fake,0
Marta Campabadal,"• January 21,","""Llego la ayuda Mexicana a California"" para combatir los incendios.",Instagram posts,false,Fake,0
Ciara O'Rourke,"January 21, 2025","Video shows a “group of South African firefighters who have landed in Canada to make their way to LA, to help.”",Viral image,false,Fake,0
Ciara O'Rourke,"January 21, 2025","“Whoopi Goldberg’s mansion in Los Angeles was destroyed in a wildfire, with damages estimated at millions of dollars.”",Facebook posts,false,Fake,0
Sofia Ahmed,"January 21, 2025",“Trump passed a new law that whoever is paying the child support will get to declare those children on their taxes.”,Social Media,false,Fake,0
Caleb McCullough,"January 21, 2025",California wildfires have “nothing to do with climate change.”,Donald Trump Jr.,false,Fake,0
Sara Swann,"January 21, 2025",Second lady Usha Vance “will have her citizenship revoked if (President Donald) Trump signs his executive order banning birthright citizenship.”,Threads posts,false,Fake,0
Samantha Putterman,"January 21, 2025",The United States is the only country with unrestricted birthright citizenship.,Donald Trump,false,Fake,0
Maria Briceño,"January 21, 2025",Imágenes muestran animales heridos en los incendios de Los Ángeles.,Facebook posts,false,Fake,0
Sara Swann,"January 17, 2025",President-elect Donald Trump posted on X that he is “purchasing TikTok.”,TikTok posts,false,Fake,0
Paul Specht,"January 17, 2025",Buncombe County “is still demanding property taxes on homes destroyed by Hurricane Helene based on pre-Helene assessments that no longer apply.”,Dana Loesch,half-true,Fake,0
Caleb McCullough,"January 17, 2025","“Some of these (California) reservoirs have been dry for 15, 20 years.""",JD Vance,barely-true,Fake,0
Ciara O'Rourke,"January 17, 2025",“All three California wild fires seem to start at the same time!”,Viral image,false,Fake,0
Ciara O'Rourke,"January 17, 2025",“Jimmy Kimmel just announced that his show will end on January 20th … he’s leaving for Canada and says he’s ‘never coming back.’”,Facebook posts,false,Fake,0
Ciara O'Rourke,"January 17, 2025",Video shows Mexican firefighters going to help with California fires.,Viral image,false,Fake,0
Sofia Ahmed,"January 16, 2025","Amazon, Google, Meta, Microsoft, Apple and Uber haven’t donated anything toward LA fire relief, but Taylor Swift donated $10 million.",Social Media,false,Fake,0
Kwasi Gyamfi,"• January 16,",Video claims to show the Los Angeles fires.,Facebook posts,barely-true,Fake,0
Sara Swann,"January 16, 2025",Los Angeles wildfires are part of a Hollywood conspiracy to cover up evidence related to Sean “Diddy” Combs.,Instagram posts,pants-fire,Fake,0
Maria Briceño,"January 16, 2025",“Bomberos que combaten los incendios en Los Ángeles sostienen imagen de Nuestra Madre Santísima”.,Facebook posts,false,Fake,0
Madison Czopek,"January 16, 2025","“So (Los Angeles), Hollywood, and California (get) 100% aid for the next 180 days while Western North Carolina got $750.”",Facebook posts,false,Fake,0
Kwasi Gyamfi,"• January 16,",On banning TikTok,Donald Trump,full-flop,Fake,0
Loreben Tuquero,"January 16, 2025","Video clips show “wildfires in Los Angeles, California.”",Facebook posts,false,Fake,0
Marta Campabadal,"• January 16,",“El Departamento de Bomberos de Los Ángeles está utilizando bolsos de mujer para recoger agua en su lucha contra el incendio”.,X posts,false,Fake,0
Maria Briceño,"January 16, 2025",“El ejército de Los Estados Unidos se encuentra preparado para entrar a Venezuela a derrocar la dictadura de Nicolás Maduro”.,Instagram posts,false,Fake,0
Madison Czopek,"January 15, 2025",The Biden administration is offering only “$770 for people who lost everything” in the Los Angeles wildfires.,Instagram posts,false,Fake,0
Ciara O'Rourke,"January 15, 2025",“The FBI has arrested the owner of the company responsible for the fires in Los Angeles.”,Instagram posts,false,Fake,0
Ciara O'Rourke,"January 15, 2025",Trees still standing amid wildfire damage in the Los Angeles area are evidence of directed energy weapons.,Viral image,false,Fake,0
Ciara O'Rourke,"January 15, 2025",Photo shows Elon Musk and Taylor Swift visiting “production facilities” for an energy-saving device.,Viral image,pants-fire,Fake,0
Loreben Tuquero,"January 15, 2025",Video shows “Israeli tourists celebrating” the Los Angeles wildfires.,Instagram posts,false,Fake,0
Sofia Ahmed,"January 15, 2025",An image shows Robert Redford’s Oscar statuette destroyed in the Los Angeles wildfires.,Social Media,false,Fake,0
Ciara O'Rourke,"January 15, 2025",“If they wanted to stop the fires they would make it rain.”,Threads posts,false,Fake,0
Ciara O'Rourke,"January 15, 2025",“Oprah Winfrey announces she will leave America before January 20.”,Facebook posts,false,Fake,0
Hope Karnopp,"January 15, 2025","“After 30 years of Wisconsin’s checking account running a deficit, we've ended every fiscal year I've been governor with a positive balance. Today, we have a $4.5 billion positive balance, and a record-high balance in our state savings account.""",Tony Evers,mostly-true,Real,1
Marta Campabadal,"• January 14,",“The LAFD are using women’s handbags to hold water to put out fires.”,Instagram posts,false,Fake,0
Kwasi Gyamfi,"• January 14,",Says President-elect Donald Trump posted on X that he will “be giving Staten Island to New Jersey.”,Instagram posts,false,Fake,0
Loreben Tuquero,"January 14, 2025",California Gov. Gavin Newsom and California Democrats “literally decriminalized looting.”,Threads posts,false,Fake,0
Madison Czopek,"January 14, 2025","“​​Oregon sent 60 fire trucks to California to help with the fires, but they’re being held in Sacramento for emissions testing.”",Instagram posts,false,Fake,0
Sara Swann,"January 14, 2025",The Los Angeles wildfires were planned in preparation for the 2028 Olympics.,Instagram posts,false,Fake,0
Caleb McCullough,"January 14, 2025","“One billionaire couple owns almost all the water in California.""",More Perfect Union,false,Fake,0
Caleb McCullough,"January 14, 2025",“P Diddy’s California mansion has been completely consumed by fire.”,Facebook posts,false,Fake,0
Sofia Ahmed,"January 14, 2025",Imagen muestra “casa de familia católica salió intacta del incendio” en California en enero de 2025.,Facebook posts,false,Fake,0
Maria Briceño,"January 13, 2025",Los incendios en California “han llegado a Tijuana en la entrada de villa del campo en los cerros”.,Facebook posts,false,Fake,0
Jeff Cercone,"January 13, 2025",Video shows people in Los Angeles looting from homes during wildfires.,Instagram posts,pants-fire,Fake,0
Sofia Ahmed,"January 13, 2025",A photo shows a Christian’s home that “miraculously survived Los Angeles wildfire.”,Facebook posts,false,Fake,0
Ciara O'Rourke,"January 13, 2025",Image shows former President Barack Obama was born in Kenya.,Threads posts,pants-fire,Fake,0
Maria Briceño,"January 13, 2025",Esta imagen muestra los incendios en California de enero 2025.,Facebook posts,false,Fake,0
Madison Czopek,"January 10, 2025",“Blue items that survive” California wildfires are “indicative of DEW's (Directed Energy Weapons).”,Threads posts,false,Fake,0
Maria Briceño,"January 10, 2025",Imagen muestra el letrero de Hollywood en California en llamas el 8 de enero de 2025.,Facebook posts,false,Fake,0
Loreben Tuquero,"January 10, 2025",Video shows a man saving a bunny during the 2025 Los Angeles fires.,Facebook posts,false,Fake,0
Loreben Tuquero,"January 10, 2025",Image shows the Hollywood sign was on fire as of Jan. 8.,Social Media,false,Fake,0
Ciara O'Rourke,"January 10, 2025",Video shows Dr. Mehmet Oz and rapper Snoop Dogg promoting treatment for chronic lung diseases.”,Viral image,false,Fake,0
Ciara O'Rourke,"January 10, 2025",Video shows directed energy weapons starting fires in California.,X posts,false,Fake,0
Ciara O'Rourke,"January 10, 2025",McQueen High School in Nevada issued a “masturbation notice” to students.,Viral image,false,Fake,0
Ciara O'Rourke,"January 10, 2025",Actor Tom Hanks died in a “fatal car accident.”,Viral image,false,Fake,0
Kwasi Gyamfi,"• January 10,",“FEMA spent billions on illegal immigrants and now has no money for California!”,X posts,pants-fire,Fake,0
Maria Briceño,"January 9, 2025",California wildfires “are a deliberate criminal land grab in preparation for Agenda 2030 and smart cities.”,Threads posts,false,Fake,0
Loreben Tuquero,"January 9, 2025","“Beyoncé alleges Diddy has been secretly hiding Michael Jackson, who faked his death.”",Facebook posts,pants-fire,Fake,0
Sara Swann,"January 9, 2025",The Los Angeles Police Department is “looking for three ‘persons of interest’ all tied to a MAGA website who were spotted at the source of all three major LA fires.”,Threads posts,false,Fake,0
Marta Campabadal,"• January 9,",“China declara estado de emergencia por brote masivo de virus mortales”.,Instagram posts,false,Fake,0
Amy Sherman,"January 9, 2025","H-1B guest workers are “being employed as dog trainers, massage therapists, cooks, and English teachers.”",Bernie Sanders,barely-true,Fake,0
Marta Campabadal,"• January 9,","""Acaban declarar inocente a Sebastian Zapeta”, el hombre acusado de prender en llamas a una mujer en el metro de Nueva York.",Facebook posts,false,Fake,0
Ciara O'Rourke,"January 8, 2025","Says Elon Musk said, “The Boeing Starliner’s stranded astronauts are not with us anymore,” and “they won’t come back.”",Facebook posts,false,Fake,0
Ciara O'Rourke,"January 8, 2025",“Mark Cuban shifts company from Texas to California: ‘Can’t operate in red states.’”,Threads posts,false,Fake,0
Caleb McCullough,"January 8, 2025","After Donald Trump offered to buy Greenland, “Denmark clapped back saying they’d buy the USA, give us free healthcare, and actually make America great again.”",Threads posts,false,Fake,0
